date,source_timestamp_unix,protocol_slug,protocol_name,category,tvl_usd
2022-03-14,1647216000,aave-v3,Aave V3,Lending,6.0
2022-03-15,1647302400,aave-v3,Aave V3,Lending,7.0
2022-03-16,1647388800,aave-v3,Aave V3,Lending,11.0
2022-03-17,1647475200,aave-v3,Aave V3,Lending,7676242.0
2022-03-18,1647561600,aave-v3,Aave V3,Lending,14138880.0
2022-03-19,1647648000,aave-v3,Aave V3,Lending,17219607.0
2022-03-20,1647734400,aave-v3,Aave V3,Lending,17909752.0
2022-03-21,1647820800,aave-v3,Aave V3,Lending,18020965.0
2022-03-22,1647907200,aave-v3,Aave V3,Lending,19296208.0
2022-03-23,1647993600,aave-v3,Aave V3,Lending,21754188.0
2022-03-24,1648080000,aave-v3,Aave V3,Lending,23964493.0
2022-03-25,1648166400,aave-v3,Aave V3,Lending,26337393.0
2022-03-26,1648252800,aave-v3,Aave V3,Lending,28746770.0
2022-03-27,1648339200,aave-v3,Aave V3,Lending,29063880.0
2022-03-28,1648425600,aave-v3,Aave V3,Lending,32111436.0
2022-03-29,1648512000,aave-v3,Aave V3,Lending,34634459.0
2022-03-30,1648598400,aave-v3,Aave V3,Lending,37297082.0
2022-03-31,1648684800,aave-v3,Aave V3,Lending,39611911.0
2022-04-01,1648771200,aave-v3,Aave V3,Lending,41797769.0
2022-04-02,1648857600,aave-v3,Aave V3,Lending,46669912.0
2022-04-03,1648944000,aave-v3,Aave V3,Lending,47690486.0
2022-04-04,1649030400,aave-v3,Aave V3,Lending,50105080.0
2022-04-05,1649116800,aave-v3,Aave V3,Lending,49905416.0
2022-04-06,1649203200,aave-v3,Aave V3,Lending,49376591.0
2022-04-07,1649289600,aave-v3,Aave V3,Lending,46724365.0
2022-04-08,1649376000,aave-v3,Aave V3,Lending,50543850.0
2022-04-09,1649462400,aave-v3,Aave V3,Lending,49940781.0
2022-04-10,1649548800,aave-v3,Aave V3,Lending,54818930.0
2022-04-11,1649635200,aave-v3,Aave V3,Lending,56444280.0
2022-04-12,1649721600,aave-v3,Aave V3,Lending,53341545.0
2022-04-13,1649808000,aave-v3,Aave V3,Lending,56051307.0
2022-04-14,1649894400,aave-v3,Aave V3,Lending,58394763.0
2022-04-15,1649980800,aave-v3,Aave V3,Lending,59977194.0
2022-04-16,1650067200,aave-v3,Aave V3,Lending,62027990.0
2022-04-17,1650153600,aave-v3,Aave V3,Lending,62819048.0
2022-04-18,1650240000,aave-v3,Aave V3,Lending,64092500.0
2022-04-19,1650326400,aave-v3,Aave V3,Lending,67035233.0
2022-04-20,1650412800,aave-v3,Aave V3,Lending,121437458.0
2022-04-21,1650499200,aave-v3,Aave V3,Lending,1060658871.0
2022-04-22,1650585600,aave-v3,Aave V3,Lending,1196011958.0
2022-04-23,1650672000,aave-v3,Aave V3,Lending,1264089369.0
2022-04-24,1650758400,aave-v3,Aave V3,Lending,1300123102.0
2022-04-25,1650844800,aave-v3,Aave V3,Lending,1340514088.0
2022-04-26,1650931200,aave-v3,Aave V3,Lending,1446805874.0
2022-04-27,1651017600,aave-v3,Aave V3,Lending,1385260787.0
2022-04-28,1651104000,aave-v3,Aave V3,Lending,1394171026.0
2022-04-29,1651190400,aave-v3,Aave V3,Lending,1392395848.0
2022-04-30,1651276800,aave-v3,Aave V3,Lending,1396680374.0
2022-05-01,1651363200,aave-v3,Aave V3,Lending,1366877860.0
2022-05-02,1651449600,aave-v3,Aave V3,Lending,1409368739.0
2022-05-03,1651536000,aave-v3,Aave V3,Lending,1420048293.0
2022-05-04,1651622400,aave-v3,Aave V3,Lending,1410996441.0
2022-05-05,1651708800,aave-v3,Aave V3,Lending,1480276885.0
2022-05-06,1651795200,aave-v3,Aave V3,Lending,1412819267.0
2022-05-07,1651881600,aave-v3,Aave V3,Lending,1382508583.0
2022-05-08,1651968000,aave-v3,Aave V3,Lending,1357398724.0
2022-05-09,1652054400,aave-v3,Aave V3,Lending,1326044950.0
2022-05-10,1652140800,aave-v3,Aave V3,Lending,1205071533.0
2022-05-11,1652227200,aave-v3,Aave V3,Lending,1275011045.0
2022-05-12,1652313600,aave-v3,Aave V3,Lending,1102272953.0
2022-05-13,1652400000,aave-v3,Aave V3,Lending,903993610.0
2022-05-14,1652486400,aave-v3,Aave V3,Lending,911061107.0
2022-05-15,1652572800,aave-v3,Aave V3,Lending,963997957.0
2022-05-16,1652659200,aave-v3,Aave V3,Lending,998091741.0
2022-05-17,1652745600,aave-v3,Aave V3,Lending,960806134.0
2022-05-18,1652832000,aave-v3,Aave V3,Lending,1011859340.0
2022-05-19,1652918400,aave-v3,Aave V3,Lending,1003281204.0
2022-05-20,1653004800,aave-v3,Aave V3,Lending,1042698333.0
2022-05-21,1653091200,aave-v3,Aave V3,Lending,1069737386.0
2022-05-22,1653177600,aave-v3,Aave V3,Lending,1074880380.0
2022-05-23,1653264000,aave-v3,Aave V3,Lending,1107765368.0
2022-05-24,1653350400,aave-v3,Aave V3,Lending,1079452151.0
2022-05-25,1653436800,aave-v3,Aave V3,Lending,1087975705.0
2022-05-26,1653523200,aave-v3,Aave V3,Lending,1088308944.0
2022-05-27,1653609600,aave-v3,Aave V3,Lending,955413463.0
2022-05-28,1653696000,aave-v3,Aave V3,Lending,952083826.0
2022-05-29,1653782400,aave-v3,Aave V3,Lending,979238939.0
2022-05-30,1653868800,aave-v3,Aave V3,Lending,996437012.0
2022-05-31,1653955200,aave-v3,Aave V3,Lending,1071811573.0
2022-06-01,1654041600,aave-v3,Aave V3,Lending,1125618467.0
2022-06-02,1654128000,aave-v3,Aave V3,Lending,1163326246.0
2022-06-03,1654214400,aave-v3,Aave V3,Lending,1282597886.0
2022-06-04,1654300800,aave-v3,Aave V3,Lending,1345697206.0
2022-06-05,1654387200,aave-v3,Aave V3,Lending,1387961816.0
2022-06-06,1654473600,aave-v3,Aave V3,Lending,1404162165.0
2022-06-07,1654560000,aave-v3,Aave V3,Lending,1487142842.0
2022-06-08,1654646400,aave-v3,Aave V3,Lending,1489676215.0
2022-06-09,1654732800,aave-v3,Aave V3,Lending,1487441518.0
2022-06-10,1654819200,aave-v3,Aave V3,Lending,1507587148.0
2022-06-11,1654905600,aave-v3,Aave V3,Lending,1428779663.0
2022-06-12,1654992000,aave-v3,Aave V3,Lending,1387650871.0
2022-06-13,1655078400,aave-v3,Aave V3,Lending,1326854439.0
2022-06-14,1655164800,aave-v3,Aave V3,Lending,1022912271.0
2022-06-15,1655251200,aave-v3,Aave V3,Lending,986246590.0
2022-06-16,1655337600,aave-v3,Aave V3,Lending,963650669.0
2022-06-17,1655424000,aave-v3,Aave V3,Lending,930616657.0
2022-06-18,1655510400,aave-v3,Aave V3,Lending,955672170.0
2022-06-19,1655596800,aave-v3,Aave V3,Lending,942034203.0
2022-06-20,1655683200,aave-v3,Aave V3,Lending,977098399.0
2022-06-21,1655769600,aave-v3,Aave V3,Lending,997014130.0
2022-06-22,1655856000,aave-v3,Aave V3,Lending,1034502544.0
2022-06-23,1655942400,aave-v3,Aave V3,Lending,1038679647.0
2022-06-24,1656028800,aave-v3,Aave V3,Lending,1061146062.0
2022-06-25,1656115200,aave-v3,Aave V3,Lending,1079853916.0
2022-06-26,1656201600,aave-v3,Aave V3,Lending,1089132174.0
2022-06-27,1656288000,aave-v3,Aave V3,Lending,1069379219.0
2022-06-28,1656374400,aave-v3,Aave V3,Lending,1069652414.0
2022-06-29,1656460800,aave-v3,Aave V3,Lending,1058215680.0
2022-06-30,1656547200,aave-v3,Aave V3,Lending,1013867572.0
2022-07-01,1656633600,aave-v3,Aave V3,Lending,1032767722.0
2022-07-02,1656720000,aave-v3,Aave V3,Lending,1039649521.0
2022-07-03,1656806400,aave-v3,Aave V3,Lending,1030928179.0
2022-07-04,1656892800,aave-v3,Aave V3,Lending,1045656191.0
2022-07-05,1656979200,aave-v3,Aave V3,Lending,1079517481.0
2022-07-06,1657065600,aave-v3,Aave V3,Lending,1021469487.0
2022-07-07,1657152000,aave-v3,Aave V3,Lending,1037258457.0
2022-07-08,1657238400,aave-v3,Aave V3,Lending,1065677040.0
2022-07-09,1657324800,aave-v3,Aave V3,Lending,1057757418.0
2022-07-10,1657411200,aave-v3,Aave V3,Lending,1074352627.0
2022-07-11,1657497600,aave-v3,Aave V3,Lending,1058897609.0
2022-07-12,1657584000,aave-v3,Aave V3,Lending,1036286191.0
2022-07-13,1657670400,aave-v3,Aave V3,Lending,1005128340.0
2022-07-14,1657756800,aave-v3,Aave V3,Lending,1066136653.0
2022-07-15,1657843200,aave-v3,Aave V3,Lending,1064944505.0
2022-07-16,1657929600,aave-v3,Aave V3,Lending,1080292957.0
2022-07-17,1658016000,aave-v3,Aave V3,Lending,1110119637.0
