decile,observations,event_rate,mean_component,sample,component
1,108,0.14814814814814814,0.29979588898175535,training,correlation
2,107,0.17757009345794392,0.4052287073380052,training,correlation
3,108,0.1574074074074074,0.48321553549368546,training,correlation
4,107,0.09345794392523364,0.5160201244004634,training,correlation
5,108,0.18518518518518517,0.5580944885161658,training,correlation
6,107,0.1588785046728972,0.5860141687624999,training,correlation
7,107,0.12149532710280374,0.6336115823628893,training,correlation
8,108,0.17592592592592593,0.6651991689572108,training,correlation
9,107,0.14953271028037382,0.706917772108738,training,correlation
10,108,0.1388888888888889,0.780601537197783,training,correlation
1,108,0.1388888888888889,0.2326278659611993,training,density
2,107,0.12149532710280374,0.44568313306631063,training,density
3,108,0.2222222222222222,0.5519473838918283,training,density
4,107,0.16822429906542055,0.655985758789497,training,density
5,108,0.07407407407407407,0.7129629629629629,training,density
6,107,0.17757009345794392,0.7545171339563863,training,density
7,107,0.18691588785046728,0.847485536270583,training,density
8,108,0.1574074074074074,0.9085758377425044,training,density
9,107,0.1308411214953271,0.9765242545616377,training,density
10,108,0.12962962962962962,1.0,training,density
1,108,0.16666666666666666,-0.023362671428034474,training,stablecoin_contraction
2,107,0.11214953271028037,-0.010640727307789916,training,stablecoin_contraction
3,108,0.1574074074074074,-0.00700253145283134,training,stablecoin_contraction
4,107,0.14953271028037382,-0.004041050482752008,training,stablecoin_contraction
5,108,0.08333333333333333,-0.0016371724688987249,training,stablecoin_contraction
6,107,0.14953271028037382,0.0001636563208369704,training,stablecoin_contraction
7,107,0.16822429906542055,0.0017148209322030094,training,stablecoin_contraction
8,108,0.23148148148148148,0.003414811829274942,training,stablecoin_contraction
9,107,0.1588785046728972,0.005813425162337747,training,stablecoin_contraction
10,108,0.12962962962962962,0.021316008870051813,training,stablecoin_contraction
1,108,0.2037037037037037,0.013449695010301561,training,volatility
2,107,0.07476635514018691,0.016479070714127304,training,volatility
3,108,0.16666666666666666,0.018335317133136856,training,volatility
4,107,0.17757009345794392,0.020286785611393483,training,volatility
5,108,0.09259259259259259,0.022048854929754065,training,volatility
6,107,0.102803738317757,0.02391224313182108,training,volatility
7,107,0.1308411214953271,0.025971387124118457,training,volatility
8,108,0.16666666666666666,0.028327613292250194,training,volatility
9,107,0.14953271028037382,0.03143840840015733,training,volatility
10,108,0.24074074074074073,0.041230223747600325,training,volatility
1,108,0.09259259259259259,0.0,training,breadth
2,107,0.09345794392523364,0.0,training,breadth
3,108,0.24074074074074073,0.08713624338624337,training,breadth
4,107,0.17757009345794392,0.21550956831330664,training,breadth
5,108,0.1388888888888889,0.37533068783068785,training,breadth
6,107,0.14018691588785046,0.5679238985313751,training,breadth
7,107,0.1308411214953271,0.7384290164663996,training,breadth
8,108,0.1388888888888889,0.8605599647266314,training,breadth
9,107,0.19626168224299065,0.9672897196261683,training,breadth
10,108,0.1574074074074074,1.0,training,breadth
1,47,0.425531914893617,0.4691276893458592,holdout,correlation
2,46,0.2391304347826087,0.5062751978776789,holdout,correlation
3,47,0.3617021276595745,0.5578063798779155,holdout,correlation
4,46,0.21739130434782608,0.5899294909306948,holdout,correlation
5,47,0.23404255319148937,0.6181447086046632,holdout,correlation
6,46,0.21739130434782608,0.6436460064311156,holdout,correlation
7,46,0.043478260869565216,0.6634346910812132,holdout,correlation
8,47,0.10638297872340426,0.6880372595632694,holdout,correlation
9,46,0.08695652173913043,0.7119237261016266,holdout,correlation
10,47,0.06382978723404255,0.7434849941985237,holdout,correlation
1,47,0.3829787234042553,0.5349544072948328,holdout,density
2,46,0.2608695652173913,0.5900621118012422,holdout,density
3,47,0.23404255319148937,0.7203647416413375,holdout,density
4,46,0.1956521739130435,0.75,holdout,density
5,47,0.3404255319148936,0.7803951367781156,holdout,density
6,46,0.15217391304347827,0.8175465838509316,holdout,density
7,46,0.10869565217391304,0.8959627329192547,holdout,density
8,47,0.1276595744680851,0.9316109422492401,holdout,density
9,46,0.043478260869565216,0.9642857142857144,holdout,density
10,47,0.14893617021276595,0.9962006079027356,holdout,density
1,47,0.23404255319148937,-0.018461567018006508,holdout,stablecoin_contraction
2,46,0.15217391304347827,-0.011968349670732804,holdout,stablecoin_contraction
3,47,0.1276595744680851,-0.009486688991734023,holdout,stablecoin_contraction
4,46,0.10869565217391304,-0.0069379492239783095,holdout,stablecoin_contraction
5,47,0.23404255319148937,-0.004818100231264254,holdout,stablecoin_contraction
6,46,0.06521739130434782,-0.0028095701677989275,holdout,stablecoin_contraction
7,46,0.21739130434782608,-0.0007554314935635278,holdout,stablecoin_contraction
8,47,0.2978723404255319,0.0014524514269648127,holdout,stablecoin_contraction
9,46,0.21739130434782608,0.0040439844268204414,holdout,stablecoin_contraction
10,47,0.3404255319148936,0.008694067432971684,holdout,stablecoin_contraction
1,47,0.3404255319148936,0.014018182651247376,holdout,volatility
2,46,0.1956521739130435,0.017349964448478285,holdout,volatility
3,47,0.46808510638297873,0.018946390180158205,holdout,volatility
4,46,0.17391304347826086,0.019878980611297708,holdout,volatility
5,47,0.1702127659574468,0.020758260890438467,holdout,volatility
6,46,0.17391304347826086,0.02189162231640375,holdout,volatility
7,46,0.17391304347826086,0.023223977404357866,holdout,volatility
8,47,0.10638297872340426,0.025862438583765034,holdout,volatility
9,46,0.17391304347826086,0.02773726328641837,holdout,volatility
10,47,0.02127659574468085,0.031661822350986024,holdout,volatility
1,47,0.1276595744680851,0.0,holdout,breadth
2,46,0.1956521739130435,0.03260869565217391,holdout,breadth
3,47,0.1702127659574468,0.1276595744680851,holdout,breadth
4,46,0.21739130434782608,0.25271739130434784,holdout,breadth
5,47,0.23404255319148937,0.40425531914893614,holdout,breadth
6,46,0.13043478260869565,0.5815217391304348,holdout,breadth
7,46,0.2391304347826087,0.7663043478260869,holdout,breadth
8,47,0.1702127659574468,0.875,holdout,breadth
9,46,0.1956521739130435,0.9375,holdout,breadth
10,47,0.3191489361702128,1.0,holdout,breadth
