offset_days,episodes_available,mean_basket_daily_return,mean_correlation,mean_density,mean_stablecoin_contraction,mean_volatility,mean_breadth
-14,26,-0.001569567078553681,0.632915271371233,0.8255494505494505,-0.006391594455534018,0.022605815757102243,0.5480769230769231
-13,26,0.001614469158680325,0.6320455627797691,0.8228021978021977,-0.006239532054515814,0.02237229495781057,0.46153846153846156
-12,26,-0.003400008616775144,0.6326611837265005,0.8200549450549451,-0.006069337512156577,0.022071176415328353,0.5096153846153846
-11,26,-0.0018925705080674834,0.6310912070696025,0.8282967032967034,-0.0061770959447482975,0.022216791982225,0.5192307692307693
-10,26,0.0054524855929064305,0.6295087369285552,0.8145604395604397,-0.007311687513082367,0.02252108026986224,0.44711538461538464
-9,26,0.005544595259618977,0.6288856321012951,0.8131868131868133,-0.007842973285992556,0.022252811786374616,0.3303571428571429
-8,26,0.0008659613226810153,0.626399357695032,0.8159340659340659,-0.008288314479457997,0.021587025439764672,0.40384615384615385
-7,26,0.0051968845866725965,0.6267737955972323,0.8159340659340658,-0.008650012647380205,0.021251153610233164,0.4505494505494506
-6,26,0.0021054246674590345,0.6218777578812791,0.8090659340659342,-0.008342296609771767,0.021188475241264722,0.42788461538461536
-5,26,-0.001871329545792601,0.6199672824432911,0.8173076923076923,-0.007847068339716089,0.021194148450185656,0.5048076923076923
-4,26,-0.005851564844335707,0.6235774268280796,0.8241758241758241,-0.007786796034472216,0.021505868240839884,0.5240384615384616
-3,26,-0.0024236982690173563,0.6228057563115608,0.8228021978021978,-0.0064315298174493765,0.02129004380105396,0.4567307692307692
-2,26,0.004379716370967533,0.6205116554555128,0.8145604395604393,-0.0057693134640887465,0.02135637176811593,0.44711538461538464
-1,26,-0.0002883871069734241,0.6198670369211854,0.8159340659340658,-0.004641679698352082,0.021280784060632052,0.5480769230769231
0,26,0.01296273852551106,0.6163617976960512,0.804945054945055,-0.004433743323373968,0.021251131535100522,0.34615384615384615
1,26,-0.001297839074219309,0.61033035431257,0.7980769230769231,-0.004737413194219555,0.021089740421432492,0.6009615384615384
2,26,-0.014873141686299631,0.6104057764441424,0.7994505494505494,-0.0047266539591278075,0.021168697046395804,0.7067307692307693
3,26,-0.011113325364463097,0.6128788206452115,0.7980769230769231,-0.004252150166581178,0.021715646996178863,0.6201923076923077
4,26,-0.0008593969163048843,0.6194050065951402,0.8090659340659339,-0.004309965045946534,0.02217835117402012,0.5048076923076923
5,26,-0.005479553645651668,0.6217405614977293,0.8104395604395603,-0.004014435130109015,0.022024991842638033,0.5528846153846154
6,26,-0.007641372711152449,0.6226317154984226,0.8159340659340658,-0.004077673000183419,0.02241238729756689,0.6826923076923077
7,26,-0.029686253469360543,0.6229266414179738,0.8076923076923077,-0.002914768432033973,0.023197664299294304,0.8317307692307693
8,26,0.001181647607332677,0.6202077779317052,0.7994505494505494,-0.00168061873653765,0.023236565669000238,0.4807692307692308
9,26,-0.0013124079841508286,0.6213912524150171,0.8063186813186812,-0.0013102969559915616,0.023049440579518816,0.49038461538461536
10,26,-0.0007194901676199406,0.6206889467781447,0.7994505494505494,-0.0012096732749765614,0.02324004915474218,0.5432692307692307
11,26,-0.00102452244851723,0.6174698117970134,0.7994505494505494,-0.0015273964809506104,0.02311828741522774,0.5144230769230769
12,26,0.0014076303899451723,0.6204737976457901,0.8008241758241758,-0.001449721624026706,0.023166979137083425,0.42788461538461536
13,26,-0.004868138597628579,0.6289820164379231,0.8118131868131867,-0.0018685607492317077,0.023343828567723497,0.5192307692307693
14,26,0.0033317018564764833,0.6251900913992043,0.8131868131868131,-0.002555928210130458,0.023350667973672835,0.44711538461538464
