horizon_days,predictor_lag_days,model,train_end,holdout_start,holdout_observations,holdout_events,prevalence,average_precision,roc_auc
3,0,original_heuristic,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.08163338420547914,0.4614586745277869
3,0,correlation,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07287371755651173,0.39993449066491976
3,0,density,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07999178785881779,0.44213342067911343
3,0,stablecoin_contraction,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.15705887849864283,0.603231793863959
3,0,volatility,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07502631561119034,0.410006550933508
3,0,breadth,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.08930510934093253,0.4990446555300797
3,1,original_heuristic,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07750064341233501,0.43470902937001854
3,1,correlation,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07316895288440077,0.39987989955235287
3,1,density,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.08079657846556654,0.4353095316082542
3,1,stablecoin_contraction,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.156491466328035,0.5896659023910907
3,1,volatility,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07293718855465954,0.3935473304945955
3,1,breadth,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.09664520185477637,0.4871164974342177
3,3,original_heuristic,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.08755173030376898,0.46511627906976744
3,3,correlation,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07552189356828928,0.4059395130472759
3,3,density,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.08348470587509166,0.4516868653783164
3,3,stablecoin_contraction,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.14127948007721197,0.5746806419914838
3,3,volatility,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.0759684775879035,0.39335626160061143
3,3,breadth,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.10123189486948725,0.5500600502238235
3,7,original_heuristic,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07763586884155685,0.3839392946828256
3,7,correlation,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.0744674909853423,0.3947483349710667
3,7,density,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.0788229237893331,0.4246369691014303
3,7,stablecoin_contraction,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.09026661079908982,0.4902827819630964
3,7,volatility,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.07387166820384407,0.3511573315864177
3,7,breadth,2025-03-29,2025-04-02,469,43,0.09168443496801706,0.09778143176436102,0.512555955890381
7,0,original_heuristic,2025-03-25,2025-04-02,465,93,0.2,0.15312223015797188,0.3701005896635449
7,0,correlation,2025-03-25,2025-04-02,465,93,0.2,0.13689000458822992,0.2939935252630362
7,0,density,2025-03-25,2025-04-02,465,93,0.2,0.15466453824619353,0.3537258642617644
7,0,stablecoin_contraction,2025-03-25,2025-04-02,465,93,0.2,0.26677537756418834,0.5803272054572783
7,0,volatility,2025-03-25,2025-04-02,465,93,0.2,0.14867293509636964,0.35048849577985897
7,0,breadth,2025-03-25,2025-04-02,465,93,0.2,0.21973000204262946,0.5415221412880101
7,1,original_heuristic,2025-03-25,2025-04-02,465,93,0.2,0.15608769851640447,0.3685686206497861
7,1,correlation,2025-03-25,2025-04-02,465,93,0.2,0.13789527149201355,0.30012140131807147
7,1,density,2025-03-25,2025-04-02,465,93,0.2,0.15635152809272496,0.36192045323158745
7,1,stablecoin_contraction,2025-03-25,2025-04-02,465,93,0.2,0.2579066719158867,0.5773788877326859
7,1,volatility,2025-03-25,2025-04-02,465,93,0.2,0.14911378672813172,0.3446930280957336
7,1,breadth,2025-03-25,2025-04-02,465,93,0.2,0.22921335346937852,0.5374176205341658
7,3,original_heuristic,2025-03-25,2025-04-02,465,93,0.2,0.15326250670999297,0.35009827725748643
7,3,correlation,2025-03-25,2025-04-02,465,93,0.2,0.14142930693501327,0.3126083940339924
7,3,density,2025-03-25,2025-04-02,465,93,0.2,0.16188985330073366,0.37407503757659843
7,3,stablecoin_contraction,2025-03-25,2025-04-02,465,93,0.2,0.23469775891161804,0.5553965776390334
7,3,volatility,2025-03-25,2025-04-02,465,93,0.2,0.1538842879316589,0.3441293791189733
7,3,breadth,2025-03-25,2025-04-02,465,93,0.2,0.19629458519946286,0.49910394265232977
7,7,original_heuristic,2025-03-25,2025-04-02,465,93,0.2,0.14596958351261377,0.3098046016880564
7,7,correlation,2025-03-25,2025-04-02,465,93,0.2,0.14335341881754177,0.3180425482714765
7,7,density,2025-03-25,2025-04-02,465,93,0.2,0.15923936501852098,0.36066308243727596
7,7,stablecoin_contraction,2025-03-25,2025-04-02,465,93,0.2,0.20358146280201875,0.49760087871430225
7,7,volatility,2025-03-25,2025-04-02,465,93,0.2,0.17756221934781308,0.3509220719158284
7,7,breadth,2025-03-25,2025-04-02,465,93,0.2,0.1819103261046166,0.44951728523528733
14,0,original_heuristic,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.2147792542195732,0.34570344713838036
14,0,correlation,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.1876474337860236,0.25164345797695625
14,0,density,2025-03-18,2025-04-02,458,129,0.2816593886462882,0.21645228635978173,0.31936099526401357
