scenario,propagation_multiplier,rounds,edge_threshold,initial_tail_cutoff,loss_cap,network_window_days,weighting,paths,mean_drawdown,p95_drawdown,p99_drawdown,probability_over_10pct,mean_affected_protocols
baseline,0.5,2,0.45,0.85,0.5,60,current_tvl,5000,0.09042050482387251,0.20288639464032077,0.2758771384938022,0.3168,6.3304
grid_01,0.3,1,0.3,0.8,0.3,30,current_tvl,3000,0.065612873150629,0.14106329047352764,0.15417247140394696,0.17433333333333334,7.698333333333333
grid_02,0.3,1,0.3,0.8,0.3,90,current_tvl,3000,0.05730689131740239,0.12432423893381885,0.1379921813523437,0.128,6.633
grid_03,0.3,1,0.3,0.8,0.5,30,current_tvl,3000,0.06801153540638147,0.15779172205211903,0.2262053065059307,0.16633333333333333,7.703666666666667
grid_04,0.3,1,0.3,0.8,0.5,90,current_tvl,3000,0.06044174274071123,0.14014600350906006,0.21072490373846398,0.12,6.721666666666667
grid_05,0.3,1,0.3,0.9,0.3,30,current_tvl,3000,0.08283320738068824,0.14886177189397062,0.15610889230886046,0.33266666666666667,7.700333333333333
grid_06,0.3,1,0.3,0.9,0.3,90,current_tvl,3000,0.0740694359395815,0.13484699810674325,0.13958259976682394,0.264,6.619
grid_07,0.3,1,0.3,0.9,0.5,30,current_tvl,3000,0.08886286548058278,0.18227876799040024,0.2488843071460947,0.334,7.708333333333333
grid_08,0.3,1,0.3,0.9,0.5,90,current_tvl,3000,0.0774118377687672,0.16740418042175637,0.2249513327440201,0.24,6.566666666666666
grid_09,0.3,1,0.6,0.8,0.3,30,current_tvl,3000,0.06219315024142321,0.13357315596635005,0.14865451568586333,0.15933333333333333,5.365333333333333
grid_10,0.3,1,0.6,0.8,0.3,90,current_tvl,3000,0.049014452245746826,0.10084734604039708,0.12186459218437541,0.051333333333333335,3.5326666666666666
grid_11,0.3,1,0.6,0.8,0.5,30,current_tvl,3000,0.06509398064758559,0.16394828656554103,0.22640228847239643,0.15533333333333332,5.299333333333333
grid_12,0.3,1,0.6,0.8,0.5,90,current_tvl,3000,0.05071487041267926,0.11801543822884446,0.17966953231605812,0.08133333333333333,3.513333333333333
grid_13,0.3,1,0.6,0.9,0.3,30,current_tvl,3000,0.07586502406159754,0.14357224652007855,0.15000856019765946,0.2836666666666667,5.254
grid_14,0.3,1,0.6,0.9,0.3,90,current_tvl,3000,0.06245822331887282,0.11991661743789789,0.12253041642468741,0.11033333333333334,3.5303333333333335
grid_15,0.3,1,0.6,0.9,0.5,30,current_tvl,3000,0.08298890136871334,0.18187504125745899,0.23783328648627386,0.2996666666666667,5.288
grid_16,0.3,1,0.6,0.9,0.5,90,current_tvl,3000,0.06583490722865215,0.14370145419990193,0.19654116817471307,0.157,3.4553333333333334
grid_17,0.3,3,0.3,0.8,0.3,30,current_tvl,3000,0.0661090476601828,0.13874866525692658,0.15357992934276332,0.175,8.0
grid_18,0.3,3,0.3,0.8,0.3,90,current_tvl,3000,0.058753661117014966,0.12412976454712557,0.13970274514544886,0.129,8.0
grid_19,0.3,3,0.3,0.8,0.5,30,current_tvl,3000,0.06910297001036209,0.16478117945883214,0.23722160244940618,0.169,8.0
