date,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,forward_7d_equal_weight_available,label_7d_equal_weight_available,forward_7d_lagged_tvl_weighted,label_7d_lagged_tvl_weighted,forward_7d_capped_lagged_tvl_weighted,label_7d_capped_lagged_tvl_weighted,forward_7d_category_balanced,label_7d_category_balanced,forward_7d_retrospective_common_history,label_7d_retrospective_common_history
2021-01-01,,,,,,,,,,,,,,,
2021-01-02,,,,,,,,,,,,,,,
2021-01-03,,,,,,,,,,,,,,,
2021-01-04,,,,,,,,,,,,,,,
2021-01-05,,,,,,,,,,,,,,,
2021-01-06,,,,,,,,,,,,,,,
2021-01-07,,,,,,,,,,,,,,,
2021-01-08,,,,,,,,,,,,,,,
2021-01-09,,,,,,,,,,,,,,,
2021-01-10,,,,,,,,,,,,,,,
2021-01-11,,,,,,,,,,,,,,,
2021-01-12,,,,,,,,,,,,,,,
2021-01-13,,,,,,,,,,,,,,,
2021-01-14,,,,,,,,,,,,,,,
2021-01-15,,,,,,,,,,,,,,,
2021-01-16,,,,,,,,,,,,,,,
2021-01-17,,,,,,,,,,,,,,,
2021-01-18,,,,,,,,,,,,,,,
2021-01-19,,,,,,,,,,,,,,,
2021-01-20,,,,,,,,,,,,,,,
2021-01-21,,,,,,,,,,,,,,,
2021-01-22,,,,,,,,,,,,,,,
2021-01-23,,,,,,,,,,,,,,,
2021-01-24,,,,,,,,,,,,,,,
2021-01-25,,,,,,,,,,,,,,,
2021-01-26,,,,,,,,,,,,,,,
2021-01-27,,,,,,,,,,,,,,,
2021-01-28,,,,,,,,,,,,,,,
2021-01-29,,,,,,,,,,,,,,,
2021-01-30,,,,,,,,,,,,,,,
2021-01-31,,,,,,,,,,,,,,,
2021-02-01,,,,,,,,,,,,,,,
2021-02-02,,,,,,,,,,,,,,,
2021-02-03,,,,,,,,,,,,,,,
2021-02-04,,,,,,,,,,,,,,,
2021-02-05,,,,,,,,,,,,,,,
2021-02-06,,,,,,,,,,,,,,,
2021-02-07,,,,,,,,,,,,,,,
2021-02-08,,,,,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,,
2021-02-10,,,,,,,,,,,,,,,
2021-02-11,,,,,,,,,,,,,,,
2021-02-12,,,,,,,,,,,,,,,
2021-02-13,,,,,,,,,,,,,,,
2021-02-14,,,,,,,,,,,,,,,
2021-02-15,,,,,,,,,,,,,,,
2021-02-16,,,,,,,,,,,,,,,
2021-02-17,,,,,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,,
2021-02-22,,,,,,,,,,,,,,,
2021-02-23,,,,,,,,,,,,,,,
2021-02-24,,,,,,,,,,,,,,,
2021-02-25,,,,,,,,,,,,,,,
2021-02-26,,,,,,,,,,,,,,,
2021-02-27,,,,,,,,,,,,,,,
2021-02-28,,,,,,,,,,,,,,,
2021-03-01,,,,,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,
2021-03-03,,,,,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,,,
2021-03-05,,,,,,,,,,,,,,,
2021-03-06,,,,,,,,,,,,,,,
2021-03-07,,,,,,,,,,,,,,,
2021-03-08,,,,,,,,,,,,,,,
2021-03-09,,,,,,,,,,,,,,,
2021-03-10,,,,,,,,,,,,,,,
2021-03-11,,,,,,,,,,,,,,,
2021-03-12,,,,,,,,,,,,,,,
2021-03-13,,,,,,,,,,,,,,,
2021-03-14,,,,,,,,,,,,,,,
2021-03-15,,,,,,,,,,,,,,,
2021-03-16,,,,,,,,,,,,,,,
2021-03-17,,,,,,,,,,,,,,,
2021-03-18,,,,,,,,,,,,,,,
2021-03-19,,,,,,,,,,,,,,,
2021-03-20,,,,,,,,,,,,,,,
2021-03-21,,,,,,,,,,,,,,,
2021-03-22,,,,,,,,,,,,,,,
2021-03-23,,,,,,,,,,,,,,,
2021-03-24,,,,,,,,,,,,,,,
2021-03-25,,,,,,,,,,,,,,,
2021-03-26,,,,,,,,,,,,,,,
2021-03-27,,,,,,,,,,,,,,,
2021-03-28,,,,,,,,,,,,,,,
2021-03-29,,,,,,,,,,,,,,,
2021-03-30,,,,,,,,,,,,,,,
2021-03-31,,,,,,,,,,,,,,,
2021-04-01,,,,,,,,,,,,,,,
2021-04-02,,,,,,,,,,,,,,,
2021-04-03,,,,,,,,,,,,,,,
2021-04-04,,,,,,,,,,,,,,,
2021-04-05,,,,,,,,,,,,,,,
2021-04-06,,,,,,,,,,,,,,,
2021-04-07,,,,,,,,,,,,,,,
2021-04-08,,,,,,,,,,,,,,,
2021-04-09,,,,,,,,,,,,,,,
2021-04-10,,,,,,,,,,,,,,,
2021-04-11,,,,,,,,,,,,,,,
2021-04-12,,,,,,,,,,,,,,,
2021-04-13,,,,,,,,,,,,,,,
2021-04-14,,,,,,,,,,,,,,,
2021-04-15,,,,,,,,,,,,,,,
2021-04-16,,,,,,,,,,,,,,,
2021-04-17,,,,,,,,,,,,,,,
2021-04-18,,,,,,,,,,,,,,,
2021-04-19,,,,,,,,,,,,,,,
2021-04-20,,,,,,,,,,,,,,,
2021-04-21,,,,,,,,,,,,,,,
2021-04-22,,,,,,,,,,,,,,,
2021-04-23,,,,,,,,,,,,,,,
2021-04-24,,,,,,,,,,,,,,,
2021-04-25,,,,,,,,,,,,,,,
2021-04-26,,,,,,,,,,,,,,,
2021-04-27,,,,,,,,,,,,,,,
2021-04-28,,,,,,,,,,,,,,,
2021-04-29,,,,,,,,,,,,,,,
2021-04-30,,,,,,,,,,,,,,,
2021-05-01,,,,,,,,,,,,,,,
2021-05-02,,,,,,,,,,,,,,,
2021-05-03,,,,,,,,,,,,,,,
2021-05-04,,,,,,,,,,,,,,,
2021-05-05,,,,,,,,,,,,,,,
2021-05-06,,,,,,,,,,,,,,,
2021-05-07,,,,,,,,,,,,,,,
2021-05-08,,,,,,,,,,,,,,,
2021-05-09,,,,,,,,,,,,,,,
2021-05-10,,,,,,,,,,,,,,,
2021-05-11,,,,,,,,,,,,,,,
2021-05-12,,,,,,,,,,,,,,,
2021-05-13,,,,,,,,,,,,,,,
2021-05-14,,,,,,,,,,,,,,,
2021-05-15,,,,,,,,,,,,,,,
2021-05-16,,,,,,,,,,,,,,,
2021-05-17,,,,,,,,,,,,,,,
2021-05-18,,,,,,,,,,,,,,,
2021-05-19,,,,,,,,,,,,,,,
2021-05-20,,,,,,,,,,,,,,,
2021-05-21,,,,,,,,,,,,,,,
2021-05-22,,,,,,,,,,,,,,,
2021-05-23,,,,,,,,,,,,,,,
2021-05-24,,,,,,,,,,,,,,,
2021-05-25,,,,,,,,,,,,,,,
2021-05-26,,,,,,,,,,,,,,,
2021-05-27,,,,,,,,,,,,,,,
