fold,model,selected_features,train_start,train_end,test_start,test_end,purge_days,preprocessing_fit_end,observations,events,prevalence,threshold,alerts,alert_rate,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,f2,specificity,balanced_accuracy,roc_auc,average_precision,brier_score,fold_ap_mean,fold_ap_std
1,original_heuristic,,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.6426357723035107,82.0,0.42487046632124353,14.0,68.0,15.0,96.0,0.17073170731707318,0.4827586206896552,0.2522522522522523,0.3535353535353536,0.5853658536585366,0.5340622371740958,0.5668629100084104,0.1773979523260866,0.36223191385893744,,
1,equal_component_weight,,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.6114989705809363,90.0,0.46632124352331605,15.0,75.0,14.0,89.0,0.16666666666666666,0.5172413793103449,0.25210084033613445,0.3640776699029126,0.5426829268292683,0.5299621530698067,0.5574011774600505,0.17519426806526667,0.3426606276568328,,
1,stablecoin_only,,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.7069053926360049,3.0,0.015544041450777202,1.0,2.0,28.0,162.0,0.3333333333333333,0.034482758620689655,0.0625,0.04201680672268907,0.9878048780487805,0.5111438183347351,0.7045836837678722,0.3640578727914463,0.1855350095244794,,
1,tvl_momentum,,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.5938425801521953,67.0,0.3471502590673575,11.0,56.0,18.0,108.0,0.16417910447761194,0.3793103448275862,0.22916666666666666,0.3005464480874317,0.6585365853658537,0.5189234650967199,0.5172413793103449,0.1579057670227466,0.29920583860531347,,
1,unconstrained_logistic,,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.14675021933308283,0.0,0.0,0.0,0.0,29.0,164.0,0.0,0.0,0.0,0.0,1.0,0.5,0.47245584524810763,0.15750616468093998,0.13137939798419482,,
1,parsimonious_selected,density,2022-04-16,2024-05-20,2024-05-28,2024-12-06,7.0,2024-05-20,193,29,0.15025906735751296,0.14401230413067015,0.0,0.0,0.0,0.0,29.0,164.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5030487804878049,0.14687016366019282,0.12914353992481967,,
2,original_heuristic,,2022-04-16,2024-11-29,2024-12-07,2025-06-18,7.0,2024-11-29,194,41,0.211340206185567,0.6155311635625192,106.0,0.5463917525773195,16.0,90.0,25.0,63.0,0.1509433962264151,0.3902439024390244,0.217687074829932,0.2962962962962963,0.4117647058823529,0.40100430416068866,0.3597959509006855,0.18405937267266267,0.3642004404845492,,
2,equal_component_weight,,2022-04-16,2024-11-29,2024-12-07,2025-06-18,7.0,2024-11-29,194,41,0.211340206185567,0.6080059263312145,103.0,0.5309278350515464,16.0,87.0,25.0,66.0,0.1553398058252427,0.3902439024390244,0.22222222222222218,0.29962546816479396,0.43137254901960786,0.41080822572931613,0.36170891120675913,0.18470036876692178,0.35584494007984346,,
2,stablecoin_only,,2022-04-16,2024-11-29,2024-12-07,2025-06-18,7.0,2024-11-29,194,41,0.211340206185567,0.724963055356707,15.0,0.07731958762886598,2.0,13.0,39.0,140.0,0.13333333333333333,0.04878048780487805,0.07142857142857142,0.05586592178770949,0.9150326797385621,0.4819065837717201,0.5137095488601945,0.23423385385124926,0.25094436249679924,,
2,tvl_momentum,,2022-04-16,2024-11-29,2024-12-07,2025-06-18,7.0,2024-11-29,194,41,0.211340206185567,0.6042928358366515,69.0,0.3556701030927835,14.0,55.0,27.0,98.0,0.2028985507246377,0.34146341463414637,0.2545454545454545,0.30042918454935624,0.6405228758169934,0.4909931452255699,0.46923322174398213,0.19184832855544043,0.34614195613610965,,
